2010 Federal Election House of Representatives Two Party Preferred By Polling Place [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-08-22T07:44:31 Cycle:616f42f6-2035-4b88-9530-8ecd800c5267 Created:2010-08-22T07:29:29 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Australian Labor Party Votes,Australian Labor Party Percentage,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,TotalVotes,Swing
NSW,138,Page,2104,Meerschaum Vale,161,52.1,148,47.9,309,-1.95
NSW,138,Page,2108,Nymboida,104,61.54,65,38.46,169,-6.99
NSW,138,Page,2110,Palmers Island,218,44.4,273,55.6,491,0.24
NSW,138,Page,2111,Pimlico,103,50.24,102,49.76,205,5.41
NSW,138,Page,2463,Pound Hill,890,64.92,481,35.08,1371,1.36
NSW,138,Page,2112,Rappville,70,50.72,68,49.28,138,-3.96
NSW,138,Page,2115,Rous,241,39.57,368,60.43,609,3.3
NSW,138,Page,2127,South Grafton (Page),1076,58.41,766,41.59,1842,2.7
NSW,138,Page,2081,South Grafton Central,814,51.75,759,48.25,1573,0.77
NSW,138,Page,2118,Southgate,36,39.56,55,60.44,91,-1.01
NSW,138,Page,33636,Special Hospital Team 1,0,0,0,0,0,-38.1
NSW,138,Page,33707,Special Hospital Team 2,0,0,0,0,0,-38.21
NSW,138,Page,33708,Special Hospital Team 3,0,0,0,0,0,-38.24
NSW,138,Page,33709,Special Hospital Team 4,0,0,0,0,0,-38.14
NSW,138,Page,14137,Sydney (Page),17,73.91,6,26.09,23,8.39
NSW,138,Page,2119,Tabulam,78,58.21,56,41.79,134,3.61
NSW,138,Page,2469,Tregeagle,211,46.37,244,53.63,455,4.49
NSW,138,Page,2128,Wardell,298,59.48,203,40.52,501,1.39
NSW,138,Page,2130,Westlawn,401,55.85,317,44.15,718,8.21
NSW,138,Page,2131,Whiporie,55,57.89,40,42.11,95,-2.11
NSW,138,Page,2132,Wiangaree,132,38.82,208,61.18,340,-5.02
NSW,138,Page,2133,Wollongbar,886,52.52,801,47.48,1687,3.99
NSW,138,Page,2135,Woodburn,474,56.7,362,43.3,836,0.88
NSW,138,Page,2137,Woodenbong,104,38.24,168,61.76,272,3.26
NSW,138,Page,2134,Woombah,262,54.93,215,45.07,477,1
NSW,138,Page,2477,Wyrallah,199,55.12,162,44.88,361,0.17
NSW,138,Page,2140,Yamba,860,54.92,706,45.08,1566,2.17
NSW,138,Page,33110,Yamba West,813,46.51,935,53.49,1748,-0.31
NSW,139,Parkes,46537,Albert,9,10.34,78,89.66,87,2.93
NSW,139,Parkes,1062,Ashley,28,18.79,121,81.21,149,-7.56
NSW,139,Parkes,1063,Baan Baa,11,9.82,101,90.18,112,-8.76
NSW,139,Parkes,2152,Ballimore,32,26.67,88,73.33,120,-7.16
NSW,139,Parkes,1065,Baradine,150,24.31,467,75.69,617,-2.93
NSW,139,Parkes,1066,Bellata,0,0,0,0,0,-15.38
NSW,139,Parkes,1067,Bingara,294,27.55,773,72.45,1067,-9.65
NSW,139,Parkes,1069,Binnaway,186,42.96,247,57.04,433,-5.14
NSW,139,Parkes,1072,Boggabilla,98,34.63,185,65.37,283,-6.04
NSW,139,Parkes,1073,Boggabri,145,27.2,388,72.8,533,-2.56
NSW,139,Parkes,1074,Boomi,22,18.33,98,81.67,120,-0.64
NSW,139,Parkes,2158,Bourke,379,43.22,498,56.78,877,-0.52
NSW,139,Parkes,46577,Bourke PPVC,74,37.19,125,62.81,199,-26.89
NSW,139,Parkes,2160,Brewarrina,206,50.49,202,49.51,408,2.62
NSW,139,Parkes,1077,Bullarah,3,4.62,62,95.38,65,-13.71
NSW,139,Parkes,2495,Burcher,7,11.67,53,88.33,60,5.61
NSW,139,Parkes,1079,Burren Junction,19,13.67,120,86.33,139,-2.56
NSW,139,Parkes,1080,Carinda,12,14.46,71,85.54,83,-0.29
NSW,139,Parkes,2163,Churchill Gardens,540,34.77,1013,65.23,1553,-5.82
NSW,139,Parkes,2497,Cobar,558,39.1,869,60.9,1427,-0.15
NSW,139,Parkes,33953,Cobar PPVC,179,34.1,346,65.9,525,-30.12
NSW,139,Parkes,1085,Collarenebri,102,40.48,150,59.52,252,-1.16
NSW,139,Parkes,2165,Collie,12,13.04,80,86.96,92,1.45
NSW,139,Parkes,2499,Condobolin,622,38.92,976,61.08,1598,0.43
NSW,139,Parkes,2168,Coolabah,8,21.05,30,78.95,38,9.69
NSW,139,Parkes,1087,Coolah,166,27.17,445,72.83,611,-1.24
NSW,139,Parkes,1088,Coolatai,10,14.08,61,85.92,71,-0.39
NSW,139,Parkes,1089,Coonabarabran,748,36,1330,64,2078,-5.49
NSW,139,Parkes,2169,Coonamble,629,41.35,892,58.65,1521,2.79
NSW,139,Parkes,1091,Croppa Creek,8,9.2,79,90.8,87,-7.28
NSW,139,Parkes,1093,Cumborah,40,30.77,90,69.23,130,-2.07
NSW,139,Parkes,2172,Curban,9,6.67,126,93.33,135,-0.06
NSW,139,Parkes,1096,Dangar Village,253,31.98,538,68.02,791,0.73
NSW,139,Parkes,30130,Divisional Office (PREPOLL),72,24.32,224,75.68,296,-40.12
NSW,139,Parkes,2174,Dubbo,0,0,0,0,0,-35.71
NSW,139,Parkes,32061,Dubbo East,916,31.78,1966,68.22,2882,-7.66
NSW,139,Parkes,2175,Dubbo Grove,537,27.78,1396,72.22,1933,-7.22
NSW,139,Parkes,2176,Dubbo Hospital,64,32.32,134,67.68,198,-11.01
NSW,139,Parkes,2177,Dubbo North,692,33.05,1402,66.95,2094,-5.14
NSW,139,Parkes,33951,Dubbo PPVC,1240,26.23,3488,73.77,4728,-38.01
NSW,139,Parkes,2178,Dubbo South,662,33.79,1297,66.21,1959,-6.34
NSW,139,Parkes,2179,Dubbo West,561,35.15,1035,64.85,1596,-4.96
NSW,139,Parkes,243,Dunedoo,0,0,0,0,0,-33.19
NSW,139,Parkes,1098,Edgeroi,6,6.74,83,93.26,89,-8.07
NSW,139,Parkes,2180,Elong Elong,16,30.19,37,69.81,53,7.97
NSW,139,Parkes,2181,Emmagool,13,12.87,88,87.13,101,-1.42
NSW,139,Parkes,2182,Enngonia,14,26.92,38,73.08,52,-4.23
NSW,139,Parkes,2504,Euabalong,38,37.25,64,62.75,102,3.61
NSW,139,Parkes,246,Euchareena,26,27.08,70,72.92,96,-3.2
NSW,139,Parkes,2184,Eumungerie,44,22.8,149,77.2,193,-6.61
NSW,139,Parkes,1101,Fairfax,7,9.09,70,90.91,77,-3.13
NSW,139,Parkes,2185,Fifield,21,24.42,65,75.58,86,-2.56
NSW,139,Parkes,1102,Garah,15,13.39,97,86.61,112,-1.42
NSW,139,Parkes,2191,Geurie,0,0,0,0,0,-29.64
NSW,139,Parkes,2192,Gilgandra,557,31.99,1184,68.01,1741,-4.29
NSW,139,Parkes,2194,Girilambone,7,13.73,44,86.27,51,-8.49
NSW,139,Parkes,2195,Gollan,8,12.31,57,87.69,65,1.54
NSW,139,Parkes,1103,Goodooga,72,58.54,51,41.46,123,5.21
NSW,139,Parkes,251,Goolma,25,19.08,106,80.92,131,-8.66
NSW,139,Parkes,1106,Gravesend,22,16.18,114,83.82,136,-6.44
NSW,139,Parkes,2197,Gulargambone,0,0,0,0,0,-29.91
NSW,139,Parkes,252,Gulgong,652,38.33,1049,61.67,1701,-16.94
NSW,139,Parkes,1110,Gurley,2,2.41,81,97.59,83,-7.02
NSW,139,Parkes,1111,Gwabegar,36,38.3,58,61.7,94,4.23
NSW,139,Parkes,254,Hargraves,55,31.43,120,68.57,175,-14.55
NSW,139,Parkes,2518,Hermidale,9,12,66,88,75,-1.25
NSW,139,Parkes,258,Ilford,42,22.58,144,77.42,186,-12.2
NSW,139,Parkes,2525,Lake Cargelligo,190,28.19,484,71.81,674,-1.06
NSW,139,Parkes,1116,Leadville,37,34.58,70,65.42,107,-6.42
NSW,139,Parkes,1117,Lightning Ridge,500,46.82,568,53.18,1068,-1.96
NSW,139,Parkes,33886,Lightning Ridge PPVC,0,0,0,0,0,0
NSW,139,Parkes,2199,Lourdes Hospital,180,31.8,386,68.2,566,-10
NSW,139,Parkes,2200,Louth,9,20.93,34,79.07,43,9.57
NSW,139,Parkes,266,Lue,63,37.5,105,62.5,168,-1.29
NSW,139,Parkes,1120,Mendooran,93,24.93,280,75.07,373,-10.01
NSW,139,Parkes,2204,Montefiores,95,22.04,336,77.96,431,-9.27
NSW,139,Parkes,1123,Moree,378,26.87,1029,73.13,1407,-3.78
NSW,139,Parkes,1124,Moree East,423,36.75,728,63.25,1151,-6.03
NSW,139,Parkes,33887,Moree PPVC,117,14.79,674,85.21,791,-49.45
NSW,139,Parkes,1125,Moree West,247,19.53,1018,80.47,1265,-3.51
NSW,139,Parkes,276,Mudgee,661,34.97,1229,65.03,1890,-8.9
NSW,139,Parkes,277,Mudgee Central,717,39.5,1098,60.5,1815,-9.94
NSW,139,Parkes,33888,Mudgee PPVC,989,37.07,1679,62.93,2668,-27.17
NSW,139,Parkes,279,Mudgee South,561,38.61,892,61.39,1453,-4.92
NSW,139,Parkes,2207,Mumbil,68,42.5,92,57.5,160,-3.97
NSW,139,Parkes,1129,Mungindi,68,22.44,235,77.56,303,-8.85
NSW,139,Parkes,2534,Murrin Bridge,33,75,11,25,44,13.89
NSW,139,Parkes,1135,Narrabri,517,27.83,1341,72.17,1858,-2.83
NSW,139,Parkes,46523,Narrabri PPVC,226,24.2,708,75.8,934,-40.07
NSW,139,Parkes,1136,Narrabri West,338,33.47,672,66.53,1010,-1.3
NSW,139,Parkes,2208,Narromine,744,31.92,1587,68.08,2331,-1.92
NSW,139,Parkes,2211,Nevertire,30,20.13,119,79.87,149,-3.6
NSW,139,Parkes,1137,North Star,12,10.91,98,89.09,110,-8.53
NSW,139,Parkes,2539,Nymagee,8,16.67,40,83.33,48,-5.33
NSW,139,Parkes,2212,Nyngan,377,34.91,703,65.09,1080,0.05
NSW,139,Parkes,2214,Orana Heights,661,30.79,1486,69.21,2147,-7.21
NSW,139,Parkes,1138,Pallamallawa,89,32.01,189,67.99,278,1.29
NSW,139,Parkes,1140,Pilliga,29,22.83,98,77.17,127,-2.17
NSW,139,Parkes,1143,Purlewaugh,18,18.95,77,81.05,95,-3.39
NSW,139,Parkes,2220,Quambone,28,28.87,69,71.13,97,-1.9
NSW,139,Parkes,57924,Remote Mobile Team 1,0,0,0,0,0,-80
NSW,139,Parkes,1145,Rowena,5,6.94,67,93.06,72,-4.55
NSW,139,Parkes,46459,Special Hospital Team 2,0,0,0,0,0,-31.75
NSW,139,Parkes,46460,Special Hospital Team 3,0,0,0,0,0,-31.51
NSW,139,Parkes,46461,Special Hospital Team 4,0,0,0,0,0,-30
NSW,139,Parkes,46462,Special Hospital Team 5,0,0,0,0,0,-31.51
NSW,139,Parkes,46463,Special Hospital Team 6,0,0,0,0,0,-31.4
NSW,139,Parkes,46464,Special Hospital Team 7,0,0,0,0,0,-30.77
NSW,139,Parkes,57917,Special Hospital Team 8,0,0,0,0,0,-31.87
NSW,139,Parkes,57918,Special Hospital Team 9,0,0,0,0,0,-31.82
NSW,139,Parkes,2223,Stuart Town,71,41.52,100,58.48,171,-9.98
NSW,139,Parkes,14140,Sydney (Parkes),0,0,0,0,0,-35.14
NSW,139,Parkes,1151,Terry Hie Hie,12,19.35,50,80.65,62,-2.87
NSW,139,Parkes,2224,Tomingley,27,15.61,146,84.39,173,-5.48
NSW,139,Parkes,33779,Toomelah,41,82,9,18,50,4
NSW,139,Parkes,2226,Tooraweenah,26,14.21,157,85.79,183,-7.22
NSW,139,Parkes,2551,Tottenham,63,20.39,246,79.61,309,-2.32
NSW,139,Parkes,2227,Trangie,170,24.64,520,75.36,690,-7.33
NSW,139,Parkes,2552,Tullibigeal,20,9.8,184,90.2,204,1.51
NSW,139,Parkes,307,Ulan,83,46.63,95,53.37,178,-7.87
NSW,139,Parkes,1156,Upper Horton,19,16.67,95,83.33,114,-4.02
NSW,139,Parkes,1161,Walgett,310,41.11,444,58.89,754,6.32
NSW,139,Parkes,2230,Wanaaring,3,15.79,16,84.21,19,-8.35
NSW,139,Parkes,1158,Warialda,256,25.27,757,74.73,1013,-6.85
NSW,139,Parkes,2231,Warren,391,36.37,684,63.63,1075,-0.74
NSW,139,Parkes,1164,Wee Waa,233,21.67,842,78.33,1075,-2.66
NSW,139,Parkes,2234,Weilmoringle,24,44.44,30,55.56,54,13.33
NSW,139,Parkes,2235,Wellington,574,37.2,969,62.8,1543,-6.55
NSW,139,Parkes,2236,Wellington East,416,42.67,559,57.33,975,-7.89
NSW,139,Parkes,311,Windeyer,49,28.32,124,71.68,173,-7.92
NSW,139,Parkes,312,Wollar,39,41.94,54,58.06,93,-10.44
NSW,139,Parkes,2238,Wongarbon,109,29.14,265,70.86,374,-7.43
NSW,140,Parramatta,58025,Blaxcell (Parramatta),191,70.74,79,29.26,270,2.41
NSW,140,Parramatta,2374,Cardinal Gilroy Village,167,43.83,214,56.17,381,-5.38
NSW,140,Parramatta,33795,Carlingford (Parramatta),491,53.84,421,46.16,912,-2.49
NSW,140,Parramatta,635,Carlingford North,899,41.7,1257,58.3,2156,-7.53
NSW,140,Parramatta,636,Cumberland High,1214,50.44,1193,49.56,2407,-2.6
NSW,140,Parramatta,2251,Darcy Road (Parramatta),863,56.81,656,43.19,1519,-6.25
NSW,140,Parramatta,30131,Divisional Office (PREPOLL),0,0,0,0,0,-47.29
NSW,140,Parramatta,2276,Dundas,1349,53.96,1151,46.04,2500,-5.43
NSW,140,Parramatta,641,Dundas Valley,476,53.42,415,46.58,891,-4.07
NSW,140,Parramatta,58040,Ermington West (Parramatta),134,50.57,131,49.43,265,-9.73
NSW,140,Parramatta,2377,Fowler Road (Parramatta),954,50.26,944,49.74,1898,-6.56
NSW,140,Parramatta,2378,Granville,1369,63.85,775,36.15,2144,-9.38
NSW,140,Parramatta,58042,Granville East (Parramatta),453,51.3,430,48.7,883,-10.82
NSW,140,Parramatta,2379,Granville North,599,62.46,360,37.54,959,-8.72
NSW,140,Parramatta,58026,Granville South (Parramatta),194,60.06,129,39.94,323,-2.61
NSW,140,Parramatta,2257,Lake Parramatta,701,51.02,673,48.98,1374,1.77
NSW,140,Parramatta,2250,Macarthur High,1101,58.32,787,41.68,1888,-6.97
NSW,140,Parramatta,2387,Merrylands (Parramatta),708,51.05,679,48.95,1387,-9.1
NSW,140,Parramatta,45838,Merrylands Central (Parramatta),1531,48.45,1629,51.55,3160,-8.01
NSW,140,Parramatta,2388,Merrylands East,939,55.83,743,44.17,1682,-8.09
NSW,140,Parramatta,2259,Merrylands North,894,62.56,535,37.44,1429,-6.06
NSW,140,Parramatta,58012,Merrylands West (Parramatta),339,58.96,236,41.04,575,-0.99
NSW,140,Parramatta,2262,Noller Park,249,62.72,148,37.28,397,4.7
NSW,140,Parramatta,33798,North Rocks (Parramatta),697,40.31,1032,59.69,1729,-3.81
NSW,140,Parramatta,57981,Northmead (Parramatta),845,48.79,887,51.21,1732,-1.24
NSW,140,Parramatta,652,Oatlands,923,33.69,1817,66.31,2740,-2.27
NSW,140,Parramatta,2265,Old Toongabbie (Parramatta),918,51.23,874,48.77,1792,-8.02
NSW,140,Parramatta,45817,Parramatta Central,1370,67.06,673,32.94,2043,-3.27
NSW,140,Parramatta,2267,Parramatta East,805,51.54,757,48.46,1562,-6.95
NSW,140,Parramatta,2268,Parramatta High,574,59.98,383,40.02,957,-10.28
NSW,140,Parramatta,2269,Parramatta North,1027,61.06,655,38.94,1682,-2.81
NSW,140,Parramatta,33868,Parramatta PPVC,1792,57.4,1330,42.6,3122,10.08
NSW,140,Parramatta,57989,Pendle Hill (Parramatta),212,60.23,140,39.77,352,-4.6
NSW,140,Parramatta,57983,Pendle Hill North (Parramatta),224,52.71,201,47.29,425,-2.65
NSW,140,Parramatta,2273,Pitt Row,799,56.55,614,43.45,1413,-6.02
NSW,140,Parramatta,2274,Rosehill,829,56.2,646,43.8,1475,-6.3
NSW,140,Parramatta,2255,Rowland Hassall,541,61.69,336,38.31,877,-0.65
NSW,140,Parramatta,2275,Rydalmere,815,54.96,668,45.04,1483,-2
NSW,140,Parramatta,33637,Special Hospital Team 1,0,0,0,0,0,-52.54
NSW,140,Parramatta,33851,Special Hospital Team 2,0,0,0,0,0,-52.29
NSW,140,Parramatta,58038,Special Hospital Team 3,0,0,0,0,0,-52.38
NSW,140,Parramatta,14141,Sydney (Parramatta),83,59.29,57,40.71,140,-6.76
NSW,140,Parramatta,659,Telopea,1179,55.04,963,44.96,2142,-3.16
NSW,140,Parramatta,2277,Toongabbie East,410,60.03,273,39.97,683,-5.99
NSW,140,Parramatta,2278,Wentworthville,1210,61.11,770,38.89,1980,-7.51
NSW,140,Parramatta,2279,Wentworthville Central,604,63.45,348,36.55,952,-7.9
NSW,140,Parramatta,11980,Westmead,1578,60.9,1013,39.1,2591,-9.58
NSW,140,Parramatta,2282,Westmead Hospital,254,62.41,153,37.59,407,-8.08
NSW,140,Parramatta,2283,Westmead North,480,58.68,338,41.32,818,-7.17
NSW,140,Parramatta,640,Yates Avenue,954,51.96,882,48.04,1836,-6.81
NSW,249,Paterson,1562,Anna Bay,987,51.19,941,48.81,1928,-6.27
NSW,249,Paterson,1563,Bandon Grove,32,23.88,102,76.12,134,-3.58
NSW,249,Paterson,1565,Bobs Farm,137,40.41,202,59.59,339,-1.29
NSW,249,Paterson,1353,Bolwarra,494,42.04,681,57.96,1175,-3.21
NSW,249,Paterson,1567,Booral,181,40.4,267,59.6,448,-8.99
NSW,249,Paterson,1568,Bulahdelah,293,32.92,597,67.08,890,-7.29
NSW,249,Paterson,1569,Bungwahl,97,41.63,136,58.37,233,-8.37
NSW,249,Paterson,1575,Clarence Town,533,49.77,538,50.23,1071,-3.68
NSW,249,Paterson,1576,Coolongolook,80,35.24,147,64.76,227,-12.97
NSW,249,Paterson,11984,Coomba Park,160,48.93,167,51.07,327,-8.17
NSW,249,Paterson,1578,Corlette,510,34.6,964,65.4,1474,-2.16
NSW,249,Paterson,30400,Divisional Office (PREPOLL),0,0,0,0,0,0
NSW,249,Paterson,1582,Dungog,599,39.18,930,60.82,1529,-7.3
NSW,249,Paterson,1364,East Maitland (Paterson),407,59.07,282,40.93,689,-4.59
NSW,249,Paterson,1386,East Maitland Central,620,56.21,483,43.79,1103,-4.93
NSW,249,Paterson,58468,East Maitland Heights (Paterson),172,54.95,141,45.05,313,2.68
NSW,249,Paterson,1387,East Maitland North,212,61.63,132,38.37,344,-1.27
NSW,249,Paterson,58670,East Maitland PATERSON PPVC,650,44.74,803,55.26,1453,-0.39
NSW,249,Paterson,1367,Eastville,276,61.88,170,38.12,446,-12.16
NSW,249,Paterson,32745,Fingal Bay,229,41.04,329,58.96,558,-8.55
NSW,249,Paterson,1586,Forster,395,40.76,574,59.24,969,-9.6
NSW,249,Paterson,1587,Forster East,481,36.86,824,63.14,1305,-8.48
NSW,249,Paterson,31457,Forster Keys,582,34.98,1082,65.02,1664,-6.89
NSW,249,Paterson,1588,Forster South,926,41.25,1319,58.75,2245,-3.99
NSW,249,Paterson,33892,Forster-Tuncurry PPVC,1127,36.13,1992,63.87,3119,-9.03
NSW,249,Paterson,1590,Glen William,73,36.87,125,63.13,198,-7.9
NSW,249,Paterson,32487,Grahamstown,414,55.05,338,44.95,752,-3.05
NSW,249,Paterson,31696,Green Point Wallis Lake,132,45.52,158,54.48,290,-3.99
NSW,249,Paterson,1374,Gresford,164,30.15,380,69.85,544,-7.05
NSW,249,Paterson,1597,Hawks Nest,340,42.24,465,57.76,805,-0.49
NSW,249,Paterson,1376,Hinton,304,39.07,474,60.93,778,-6.19
NSW,249,Paterson,1600,Karuah,412,50.49,404,49.51,816,-4.33
NSW,249,Paterson,1381,Largs,505,46.33,585,53.67,1090,-2.21
NSW,249,Paterson,1608,Lemon Tree Passage,626,55.15,509,44.85,1135,0.95
NSW,249,Paterson,1383,Lorn,591,48.56,626,51.44,1217,-2.3
NSW,249,Paterson,11986,Mallabula,245,59.61,166,40.39,411,-3.34
NSW,249,Paterson,1392,Martins Creek,101,41.39,143,58.61,244,-10.17
NSW,249,Paterson,1613,Medowie,965,46.15,1126,53.85,2091,-2.84
NSW,249,Paterson,1394,Metford,1283,58.93,894,41.07,2177,-2.57
NSW,249,Paterson,1396,Millers Forest,81,28.83,200,71.17,281,-13.87
NSW,249,Paterson,1398,Morpeth,590,51.26,561,48.74,1151,-4.75
NSW,249,Paterson,1399,Mount Kanwary,58,30.37,133,69.63,191,-3.9
NSW,249,Paterson,1618,Nabiac,266,38.49,425,61.51,691,-2.79
NSW,249,Paterson,1619,Nelson Bay,426,38.87,670,61.13,1096,-3.65
NSW,249,Paterson,1620,Nelson Bay Central,403,44.33,506,55.67,909,-7.48
NSW,249,Paterson,1621,Nelson Bay East,91,39.74,138,60.26,229,-0.66
NSW,249,Paterson,1622,Nelson Bay West,99,37.22,167,62.78,266,-19.86
NSW,249,Paterson,31510,North Arm Cove,100,39.06,156,60.94,256,-1.71
NSW,249,Paterson,1626,Pacific Palms,432,49.48,441,50.52,873,-1.6
NSW,249,Paterson,1403,Paterson Central,183,45.98,215,54.02,398,-6.34
NSW,249,Paterson,1628,Raymond Terrace,787,54.16,666,45.84,1453,-6.15
NSW,249,Paterson,1629,Raymond Terrace Central,680,49.93,682,50.07,1362,-5.03
NSW,249,Paterson,1630,Raymond Terrace East,790,54,673,46,1463,-5.53
NSW,249,Paterson,1407,Raymond Terrace North,708,57.14,531,42.86,1239,-5.6
NSW,249,Paterson,33890,Raymond Terrace PPVC,891,44.84,1096,55.16,1987,-0.35
NSW,249,Paterson,31506,Salamander,557,44.7,689,55.3,1246,-2.63
NSW,249,Paterson,1632,Salamander Bay,544,43.04,720,56.96,1264,-0.57
NSW,249,Paterson,33891,Salamander Bay PPVC,1278,42,1765,58,3043,-3.16
NSW,249,Paterson,1634,Salt Ash,287,44.7,355,55.3,642,-4.2
NSW,249,Paterson,1416,Seaham,450,39.03,703,60.97,1153,-7.96
NSW,249,Paterson,1636,Shoal Bay,441,51.94,408,48.06,849,0.41
NSW,249,Paterson,1637,Soldiers Point,345,41.27,491,58.73,836,-3.99
NSW,249,Paterson,33628,Special Hospital Team 1,0,0,0,0,0,-40
NSW,249,Paterson,33775,Special Hospital Team 2,0,0,0,0,0,-40.12
NSW,249,Paterson,33776,Special Hospital Team 3,0,0,0,0,0,-40.71
NSW,249,Paterson,1639,Stroud,194,38.8,306,61.2,500,-0.48
NSW,249,Paterson,1640,Stroud Road,59,38.31,95,61.69,154,-0.54
NSW,249,Paterson,14143,Sydney (Paterson),9,36,16,64,25,-20.52
NSW,249,Paterson,1641,Tanilba Bay,844,54.17,714,45.83,1558,-4.62
NSW,249,Paterson,1647,Tea Gardens,304,22.03,1076,77.97,1380,-21.26
NSW,249,Paterson,1424,Tenambit,1017,53.67,878,46.33,1895,-3.72
NSW,249,Paterson,1650,Tuncurry,673,38.61,1070,61.39,1743,-5.24
NSW,249,Paterson,33786,Tuncurry South,430,41.47,607,58.53,1037,-3.99
NSW,249,Paterson,1426,Vacy,155,34.22,298,65.78,453,-10.12
NSW,249,Paterson,1652,Wallarobba,43,33.08,87,66.92,130,1.87
NSW,249,Paterson,1653,Wards River,43,38.39,69,61.61,112,-5.42
NSW,249,Paterson,31511,Wirreanda Medowie,1095,50,1095,50,2190,-0.27
NSW,249,Paterson,1431,Woodville,220,43.56,285,56.44,505,-4.79
NSW,249,Paterson,1658,Wootton,37,40.66,54,59.34,91,-5.32
NSW,144,Reid,1515,Abbotsford,1676,47.69,1838,52.31,3514,-5.98
NSW,144,Reid,2365,Auburn,1321,67.78,628,32.22,1949,-12.83
NSW,144,Reid,2392,Auburn Central,876,63.89,495,36.11,1371,-11.32
NSW,144,Reid,58110,Auburn East (Reid),215,54.16,182,45.84,397,-12.61
NSW,144,Reid,2367,Auburn Hospital,223,63.9,126,36.1,349,-10.19
NSW,144,Reid,2368,Auburn North,1127,73.61,404,26.39,1531,-6.85
NSW,144,Reid,33836,Auburn PPVC,1283,69.28,569,30.72,1852,7.69
NSW,144,Reid,2369,Auburn West (Reid),1482,66.07,761,33.93,2243,-7.9
NSW,144,Reid,58111,Berala (Reid),436,65.37,231,34.63,667,-10.47
NSW,144,Reid,58092,Burwood (Reid),530,57.55,391,42.45,921,-9.05
NSW,144,Reid,1517,Burwood East (Reid),1212,58.19,871,41.81,2083,-8
NSW,144,Reid,1519,Burwood Park,510,56.17,398,43.83,908,-9.77
NSW,144,Reid,1521,Chiswick,814,43.93,1039,56.07,1853,-9.04
NSW,144,Reid,1522,Concord,481,51.89,446,48.11,927,-7.76
NSW,144,Reid,1523,Concord Central,349,49.15,361,50.85,710,-7.06
NSW,144,Reid,1551,Concord City,619,40.62,905,59.38,1524,-10.83
NSW,144,Reid,1524,Concord East,1225,47.22,1369,52.78,2594,-9.26
NSW,144,Reid,1525,Concord North,995,51.5,937,48.5,1932,-7.64
NSW,144,Reid,1527,Concord West,719,50.24,712,49.76,1431,-6.24
NSW,144,Reid,45017,Croydon (Reid),233,63.49,134,36.51,367,-4.18
NSW,144,Reid,30135,Divisional Office (PREPOLL),109,53.17,96,46.83,205,-8.41
NSW,144,Reid,1530,Drummoyne,797,45.75,945,54.25,1742,-5.66
NSW,144,Reid,1542,Drummoyne East,291,37.36,488,62.64,779,-12.42
NSW,144,Reid,1531,Drummoyne North,1126,43.78,1446,56.22,2572,-7.91
NSW,144,Reid,1533,Five Dock,1249,56.54,960,43.46,2209,-4.43
NSW,144,Reid,1534,Five Dock Central,1121,48.13,1208,51.87,2329,-7.44
NSW,144,Reid,1535,Flemington,876,63.43,505,36.57,1381,-11.97
NSW,144,Reid,1536,Homebush,1186,52.39,1078,47.61,2264,-10.66
NSW,144,Reid,46751,Homebush Bay,299,41.02,430,58.98,729,1.02
NSW,144,Reid,1537,Homebush North,341,53.79,293,46.21,634,-9.95
NSW,144,Reid,1538,Homebush South,255,40.41,376,59.59,631,-4.12
NSW,144,Reid,2384,Lidcombe,2267,62.54,1358,37.46,3625,-8.94
NSW,144,Reid,2386,Lidcombe South,922,62.13,562,37.87,1484,-7.76
NSW,144,Reid,1541,Mortlake,1514,40.73,2203,59.27,3717,-6.01
NSW,144,Reid,34328,Newington Central,1100,47.33,1224,52.67,2324,-8.47
NSW,144,Reid,1543,Rhodes,423,47.9,460,52.1,883,-6.89
NSW,144,Reid,1544,Russell Lea,689,47.81,752,52.19,1441,-6.71
NSW,144,Reid,2394,Silverwater,589,67.39,285,32.61,874,-8.88
NSW,144,Reid,33638,Special Hospital Team 1,0,0,0,0,0,-58.21
NSW,144,Reid,1545,Strathfield (Reid),550,45.34,663,54.66,1213,-15.22
NSW,144,Reid,58096,Strathfield Central (Reid),168,37.5,280,62.5,448,-4.13
NSW,144,Reid,1547,Strathfield North,1337,49.61,1358,50.39,2695,-9.5
NSW,144,Reid,34043,Strathfield PPVC,1020,48.97,1063,51.03,2083,-12.63
NSW,144,Reid,58098,Strathfield West (Reid),105,33.33,210,66.67,315,-3.74
NSW,144,Reid,14108,Sydney (Reid),102,54.84,84,45.16,186,-12.98
NSW,144,Reid,1550,Wareemba,619,47.8,676,52.2,1295,-11.62
NSW,145,Richmond,2399,Bangalow,798,61.62,497,38.38,1295,-1.46
NSW,145,Richmond,2400,Banora Point,1082,47.17,1212,52.83,2294,-0.09
NSW,145,Richmond,31668,Banora Point South,1699,51.55,1597,48.45,3296,-2.4
NSW,145,Richmond,31672,Banora Point West,931,48.92,972,51.08,1903,-1.59
NSW,145,Richmond,2401,Bexhill,186,46.5,214,53.5,400,-0.93
NSW,145,Richmond,2402,Bilambil,687,54.01,585,45.99,1272,-1.05
